,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.4547763593,-0.012173,0.000674,0.058398,0.0,0.0,0.0,0.0,0.0,0.0
1,1916733.4596896886,-0.012124933799531857,0.0010348951852561902,0.05807187767677922,0.0,0.0,0.0,0.0,0.0,0.0
2,1916733.4646335368,-0.012076499294114652,0.0013979919703653349,0.05774369544916547,0.0,0.0,0.0,0.0,0.0,0.0
3,1916733.469607902,-0.012027691304917768,0.0017632839202998804,0.05741344815105299,0.0,0.0,0.0,0.0,0.0,0.0
4,1916733.47455175,-0.011979100218614367,0.002126288783447352,0.05708518777942478,0.0,0.0,0.0,0.0,0.0,0.0
5,1916733.47946508,-0.011930730660273638,0.0024870123572320346,0.05675892032317423,0.0,0.0,0.0,0.0,0.0,0.0
6,1916733.48437841,-0.011882288745793865,0.0028477037483727774,0.056432628144514385,0.0,0.0,0.0,0.0,0.0,0.0
7,1916733.4893222568,-0.011833495102865728,0.0032106154932991507,0.056104293939188386,0.0,0.0,0.0,0.0,0.0,0.0
8,1916733.4942661047,-0.011784654001436592,0.003573517059411826,0.05577595681158701,0.0,0.0,0.0,0.0,0.0,0.0
9,1916733.4992099528,-0.011735777338439916,0.003936411045837379,0.0554476160250319,0.0,0.0,0.0,0.0,0.0,0.0
10,1916733.5041538,-0.011686878839802024,0.004299310942812236,0.05511928539630266,0.0,0.0,0.0,0.0,0.0,0.0
11,1916733.50906713,-0.01163828895527239,0.004659993898904681,0.05479300606330961,0.0,0.0,0.0,0.0,0.0,0.0
12,1916733.514010978,-0.01158940488141276,0.005022959987065801,0.05446474578758124,0.0,0.0,0.0,0.0,0.0,0.0
13,1916733.518924308,-0.011540840396507386,0.005383741354933024,0.05413857131810316,0.0,0.0,0.0,0.0,0.0,0.0
14,1916733.523868156,-0.011492000791028962,0.005746827269347217,0.053810437321567685,0.0,0.0,0.0,0.0,0.0,0.0
