,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,0.045898,0.114823,0.148372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,0.045898,0.114823,0.148372,-0.000125,-0.000187,0.000255,-0.000014,0.000002,0.000032
2,632381.545495524,0.045897,0.114822,0.148374,-0.000145,-0.000272,0.000646,-0.000028,0.000003,0.000064
3,632381.550439372,0.045896,0.114821,0.148377,-0.000106,-0.000391,0.000793,-0.000042,0.000005,0.000095
4,632381.555352702,0.045895,0.114819,0.148381,-0.000013,-0.000367,0.000822,-0.000056,0.000007,0.000127
5,632381.560296549,0.045895,0.114817,0.148385,0.000210,-0.000085,0.000792,-0.000070,0.000009,0.000159
6,632381.565240397,0.045896,0.114816,0.148389,0.000377,0.000324,0.000472,-0.000084,0.000010,0.000191
7,632381.570184245,0.045898,0.114818,0.148391,0.000520,0.000904,0.000142,-0.000098,0.000012,0.000222
8,632381.575128092,0.045901,0.114822,0.148392,0.000618,0.001544,-0.000137,-0.000112,0.000014,0.000254
9,632381.580071940,0.045905,0.114829,0.148391,0.000972,0.002282,-0.000472,-0.000126,0.000015,0.000286
10,632381.584985270,0.045911,0.114839,0.148389,0.001319,0.002925,-0.000823,-0.000140,0.000017,0.000318
11,632381.589929118,0.045920,0.114853,0.148385,0.001449,0.003698,-0.001262,-0.000154,0.000019,0.000349
12,632381.594872965,0.045930,0.114870,0.148378,0.001629,0.004377,-0.001792,-0.000168,0.000020,0.000381
13,632381.599816813,0.045941,0.114890,0.148369,0.001818,0.004985,-0.002256,-0.000182,0.000022,0.000413
14,632381.604791178,0.045953,0.114913,0.148358,0.001927,0.005691,-0.002733,-0.000197,0.000024,0.000445
15,632381.609704508,0.045967,0.114939,0.148344,0.001876,0.006409,-0.003091,-0.000211,0.000026,0.000477
16,632381.614617838,0.045980,0.114969,0.148329,0.001885,0.007044,-0.003480,-0.000225,0.000027,0.000508
17,632381.619561686,0.045995,0.115002,0.148311,0.001836,0.007250,-0.003837,-0.000239,0.000029,0.000540
18,632381.624505534,0.046009,0.115036,0.148292,0.001674,0.007201,-0.004132,-0.000253,0.000031,0.000572
19,632381.629449381,0.046022,0.115070,0.148271,0.001579,0.007216,-0.004483,-0.000267,0.000032,0.000604
20,632381.634362711,0.046035,0.115103,0.148249,0.001438,0.007106,-0.004813,-0.000281,0.000034,0.000635
21,632381.639306559,0.046047,0.115137,0.148225,0.001186,0.007042,-0.004969,-0.000295,0.000036,0.000667
22,632381.644250407,0.046058,0.115170,0.148200,0.001047,0.006956,-0.005020,-0.000309,0.000038,0.000699
23,632381.649194254,0.046068,0.115203,0.148175,0.000791,0.006763,-0.004961,-0.000323,0.000039,0.000731
24,632381.654138102,0.046077,0.115236,0.148150,0.000508,0.006618,-0.005000,-0.000337,0.000041,0.000762
25,632381.659051432,0.046084,0.115267,0.148125,0.000221,0.006335,-0.004844,-0.000351,0.000043,0.000794
26,632381.663995280,0.046090,0.115298,0.148101,-0.000245,0.005970,-0.004598,-0.000365,0.000044,0.000826
27,632381.668939127,0.046093,0.115327,0.148078,-0.000771,0.005531,-0.004106,-0.000379,0.000046,0.000857
28,632381.673882975,0.046093,0.115355,0.148057,-0.001513,0.004969,-0.003433,-0.000393,0.000048,0.000889
29,632381.678826823,0.046089,0.115380,0.148040,-0.002265,0.004528,-0.002921,-0.000407,0.000049,0.000921
30,632381.683740153,0.046081,0.115403,0.148025,-0.003058,0.004254,-0.002442,-0.000421,0.000051,0.000953
31,632381.688684000,0.046069,0.115426,0.148013,-0.003864,0.003780,-0.001979,-0.000435,0.000053,0.000984
32,632381.693658366,0.046053,0.115447,0.148003,-0.004762,0.003438,-0.001409,-0.000449,0.000055,0.001016
33,632381.698571696,0.046032,0.115467,0.147996,-0.005621,0.003332,-0.000904,-0.000463,0.000056,0.001048
34,632381.703515543,0.046007,0.115488,0.147991,-0.006560,0.003306,-0.000364,-0.000477,0.000058,0.001080
35,632381.708459391,0.045977,0.115508,0.147989,-0.007400,0.003274,0.000137,-0.000491,0.000060,0.001112
36,632381.713403239,0.045944,0.115530,0.147989,-0.008152,0.003413,0.000283,-0.000505,0.000061,0.001143
37,632381.718347086,0.045906,0.115552,0.147991,-0.008959,0.003715,0.000395,-0.000519,0.000063,0.001175
38,632381.723260417,0.045865,0.115577,0.147992,-0.009719,0.004026,0.000273,-0.000533,0.000065,0.001207
39,632381.728234782,0.045820,0.115603,0.147993,-0.010546,0.004301,-0.000035,-0.000547,0.000066,0.001239
40,632381.733178629,0.045772,0.115632,0.147993,-0.011232,0.004807,-0.000150,-0.000562,0.000068,0.001271
41,632381.738091959,0.045720,0.115663,0.147991,-0.011895,0.005582,-0.000345,-0.000576,0.000070,0.001302
42,632381.743035807,0.045666,0.115699,0.147989,-0.012546,0.006352,-0.000715,-0.000590,0.000072,0.001334
43,632381.747979655,0.045609,0.115739,0.147985,-0.013323,0.006866,-0.001044,-0.000604,0.000073,0.001366
44,632381.752923502,0.045549,0.115782,0.147980,-0.014216,0.007429,-0.001521,-0.000618,0.000075,0.001398
45,632381.757867350,0.045485,0.115828,0.147971,-0.015073,0.007885,-0.001896,-0.000632,0.000077,0.001429
46,632381.762780680,0.045417,0.115877,0.147962,-0.015981,0.008506,-0.002276,-0.000646,0.000078,0.001461
47,632381.767724528,0.045345,0.115930,0.147950,-0.016793,0.009049,-0.002586,-0.000660,0.000080,0.001493
48,632381.772668375,0.045269,0.115986,0.147936,-0.017576,0.009602,-0.002676,-0.000674,0.000082,0.001525
49,632381.777612223,0.045190,0.116045,0.147922,-0.018474,0.010111,-0.002530,-0.000688,0.000084,0.001556
50,632381.782556071,0.045107,0.116107,0.147909,-0.019348,0.010552,-0.002516,-0.000702,0.000085,0.001588
51,632381.787469401,0.045020,0.116172,0.147896,-0.020032,0.010857,-0.002387,-0.000716,0.000087,0.001620
