,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,0.019458,0.105077,0.108725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,0.019458,0.105077,0.108725,-0.000125,-0.000187,0.000255,-0.000008,-0.000006,0.000013
2,632381.545495524,0.019457,0.105076,0.108726,-0.000145,-0.000272,0.000646,-0.000017,-0.000012,0.000027
3,632381.550439372,0.019456,0.105075,0.108729,-0.000106,-0.000391,0.000793,-0.000025,-0.000018,0.000040
4,632381.555352702,0.019455,0.105073,0.108733,-0.000013,-0.000367,0.000821,-0.000033,-0.000024,0.000054
5,632381.560296549,0.019455,0.105071,0.108737,0.000211,-0.000085,0.000791,-0.000042,-0.000029,0.000067
6,632381.565240397,0.019456,0.105071,0.108741,0.000378,0.000324,0.000470,-0.000050,-0.000035,0.000081
7,632381.570184245,0.019458,0.105072,0.108743,0.000521,0.000905,0.000140,-0.000059,-0.000041,0.000094
8,632381.575128092,0.019461,0.105076,0.108744,0.000619,0.001545,-0.000139,-0.000067,-0.000047,0.000107
9,632381.580071940,0.019465,0.105083,0.108743,0.000973,0.002284,-0.000476,-0.000075,-0.000053,0.000121
10,632381.584985270,0.019472,0.105093,0.108741,0.001320,0.002927,-0.000827,-0.000084,-0.000059,0.000134
11,632381.589929118,0.019480,0.105107,0.108737,0.001450,0.003700,-0.001266,-0.000092,-0.000065,0.000148
12,632381.594872965,0.019490,0.105123,0.108731,0.001630,0.004380,-0.001798,-0.000100,-0.000071,0.000161
13,632381.599816813,0.019502,0.105144,0.108722,0.001820,0.004989,-0.002263,-0.000109,-0.000076,0.000175
14,632381.604791178,0.019515,0.105167,0.108710,0.001929,0.005695,-0.002741,-0.000117,-0.000082,0.000188
15,632381.609704508,0.019528,0.105193,0.108697,0.001879,0.006414,-0.003100,-0.000126,-0.000088,0.000201
16,632381.614617838,0.019543,0.105222,0.108681,0.001888,0.007050,-0.003490,-0.000134,-0.000094,0.000215
17,632381.619561686,0.019557,0.105255,0.108664,0.001840,0.007256,-0.003849,-0.000142,-0.000100,0.000228
18,632381.624505534,0.019572,0.105289,0.108645,0.001678,0.007207,-0.004146,-0.000151,-0.000106,0.000242
19,632381.629449381,0.019586,0.105323,0.108624,0.001584,0.007223,-0.004498,-0.000159,-0.000112,0.000255
20,632381.634362711,0.019599,0.105356,0.108602,0.001442,0.007115,-0.004830,-0.000167,-0.000118,0.000268
21,632381.639306559,0.019612,0.105390,0.108578,0.001192,0.007052,-0.004987,-0.000176,-0.000123,0.000282
22,632381.644250407,0.019623,0.105423,0.108553,0.001053,0.006967,-0.005040,-0.000184,-0.000129,0.000295
