,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,632381.535607829,-0.041057,0.477490,0.755243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,632381.540551676,-0.041057,0.477490,0.755243,-0.000125,-0.000187,0.000255,-0.000029,0.000012,0.000040
2,632381.545495524,-0.041058,0.477489,0.755245,-0.000145,-0.000272,0.000646,-0.000059,0.000024,0.000080
3,632381.550439372,-0.041059,0.477489,0.755248,-0.000106,-0.000391,0.000793,-0.000088,0.000035,0.000120
4,632381.555352702,-0.041060,0.477488,0.755252,-0.000014,-0.000367,0.000822,-0.000117,0.000047,0.000159
5,632381.560296549,-0.041061,0.477486,0.755256,0.000210,-0.000085,0.000792,-0.000147,0.000059,0.000199
6,632381.565240397,-0.041060,0.477486,0.755260,0.000376,0.000324,0.000472,-0.000176,0.000071,0.000239
7,632381.570184245,-0.041057,0.477486,0.755262,0.000519,0.000904,0.000143,-0.000205,0.000082,0.000279
8,632381.575128092,-0.041052,0.477488,0.755262,0.000616,0.001544,-0.000135,-0.000235,0.000094,0.000319
9,632381.580071940,-0.041045,0.477492,0.755261,0.000969,0.002282,-0.000470,-0.000264,0.000106,0.000358
10,632381.584985270,-0.041035,0.477499,0.755257,0.001315,0.002925,-0.000820,-0.000293,0.000118,0.000398
11,632381.589929118,-0.041022,0.477507,0.755252,0.001444,0.003698,-0.001258,-0.000322,0.000129,0.000438
12,632381.594872965,-0.041006,0.477517,0.755243,0.001623,0.004377,-0.001788,-0.000352,0.000141,0.000478
13,632381.599816813,-0.040988,0.477530,0.755232,0.001812,0.004985,-0.002251,-0.000381,0.000153,0.000518
14,632381.604791178,-0.040968,0.477544,0.755218,0.001920,0.005691,-0.002728,-0.000411,0.000165,0.000558
15,632381.609704508,-0.040946,0.477561,0.755202,0.001868,0.006409,-0.003084,-0.000440,0.000176,0.000597
16,632381.614617838,-0.040922,0.477581,0.755184,0.001876,0.007044,-0.003472,-0.000469,0.000188,0.000637
17,632381.619561686,-0.040896,0.477603,0.755163,0.001826,0.007249,-0.003829,-0.000498,0.000200,0.000677
18,632381.624505534,-0.040870,0.477626,0.755141,0.001662,0.007200,-0.004123,-0.000528,0.000212,0.000717
19,632381.629449381,-0.040845,0.477650,0.755117,0.001566,0.007215,-0.004473,-0.000557,0.000223,0.000756
20,632381.634362711,-0.040820,0.477674,0.755091,0.001423,0.007106,-0.004801,-0.000586,0.000235,0.000796
21,632381.639306559,-0.040797,0.477697,0.755064,0.001170,0.007042,-0.004956,-0.000616,0.000247,0.000836
22,632381.644250407,-0.040774,0.477721,0.755037,0.001029,0.006956,-0.005005,-0.000645,0.000259,0.000876
23,632381.649194254,-0.040753,0.477745,0.755009,0.000771,0.006762,-0.004946,-0.000674,0.000270,0.000916
24,632381.654138102,-0.040733,0.477770,0.754981,0.000487,0.006617,-0.004983,-0.000704,0.000282,0.000956
25,632381.659051432,-0.040715,0.477794,0.754954,0.000197,0.006334,-0.004825,-0.000733,0.000294,0.000995
26,632381.663995280,-0.040698,0.477818,0.754927,-0.000270,0.005969,-0.004578,-0.000762,0.000306,0.001035
27,632381.668939127,-0.040685,0.477842,0.754902,-0.000798,0.005530,-0.004084,-0.000791,0.000317,0.001075
28,632381.673882975,-0.040674,0.477866,0.754880,-0.001542,0.004967,-0.003410,-0.000821,0.000329,0.001115
29,632381.678826823,-0.040668,0.477889,0.754862,-0.002297,0.004527,-0.002896,-0.000850,0.000341,0.001155
30,632381.683740153,-0.040666,0.477913,0.754846,-0.003092,0.004252,-0.002416,-0.000879,0.000353,0.001194
31,632381.688684000,-0.040667,0.477939,0.754833,-0.003900,0.003778,-0.001950,-0.000909,0.000364,0.001234
32,632381.693658366,-0.040673,0.477965,0.754823,-0.004800,0.003436,-0.001378,-0.000938,0.000376,0.001274
33,632381.698571696,-0.040684,0.477992,0.754816,-0.005662,0.003330,-0.000872,-0.000967,0.000388,0.001314
34,632381.703515543,-0.040697,0.478022,0.754812,-0.006604,0.003304,-0.000330,-0.000997,0.000400,0.001354
35,632381.708459391,-0.040715,0.478054,0.754811,-0.007447,0.003271,0.000174,-0.001026,0.000412,0.001393
36,632381.713403239,-0.040735,0.478088,0.754813,-0.008201,0.003410,0.000321,-0.001055,0.000423,0.001433
37,632381.718347086,-0.040758,0.478126,0.754815,-0.009011,0.003713,0.000436,-0.001085,0.000435,0.001473
38,632381.723260417,-0.040784,0.478166,0.754818,-0.009774,0.004023,0.000316,-0.001114,0.000447,0.001513
39,632381.728234782,-0.040812,0.478211,0.754821,-0.010604,0.004299,0.000010,-0.001143,0.000459,0.001553
40,632381.733178629,-0.040842,0.478258,0.754822,-0.011293,0.004804,-0.000102,-0.001173,0.000470,0.001593
41,632381.738091959,-0.040874,0.478310,0.754823,-0.011959,0.005578,-0.000295,-0.001202,0.000482,0.001632
42,632381.743035807,-0.040906,0.478366,0.754823,-0.012613,0.006349,-0.000663,-0.001231,0.000494,0.001672
43,632381.747979655,-0.040939,0.478428,0.754820,-0.013393,0.006862,-0.000988,-0.001261,0.000506,0.001712
44,632381.752923502,-0.040974,0.478494,0.754816,-0.014290,0.007425,-0.001463,-0.001290,0.000517,0.001752
45,632381.757867350,-0.041011,0.478564,0.754810,-0.015149,0.007881,-0.001835,-0.001319,0.000529,0.001792
46,632381.762780680,-0.041050,0.478639,0.754802,-0.016061,0.008502,-0.002213,-0.001349,0.000541,0.001831
47,632381.767724528,-0.041092,0.478718,0.754792,-0.016877,0.009045,-0.002519,-0.001378,0.000553,0.001871
48,632381.772668375,-0.041135,0.478803,0.754781,-0.017663,0.009598,-0.002607,-0.001407,0.000564,0.001911
49,632381.777612223,-0.041180,0.478891,0.754769,-0.018565,0.010107,-0.002458,-0.001437,0.000576,0.001951
50,632381.782556071,-0.041227,0.478985,0.754758,-0.019443,0.010548,-0.002441,-0.001466,0.000588,0.001991
51,632381.787469401,-0.041276,0.479082,0.754747,-0.020131,0.010852,-0.002309,-0.001495,0.000600,0.002030
52,632381.792413249,-0.041328,0.479183,0.754737,-0.020773,0.011068,-0.002159,-0.001524,0.000611,0.002070
53,632381.797357096,-0.041381,0.479286,0.754728,-0.021387,0.011030,-0.001973,-0.001554,0.000623,0.002110
54,632381.802300944,-0.041436,0.479392,0.754720,-0.021691,0.010967,-0.001736,-0.001583,0.000635,0.002150
55,632381.807214274,-0.041493,0.479497,0.754713,-0.021842,0.010868,-0.001593,-0.001612,0.000647,0.002190
56,632381.812158122,-0.041551,0.479603,0.754706,-0.022014,0.010710,-0.001477,-0.001642,0.000658,0.002229
57,632381.817071452,-0.041609,0.479708,0.754701,-0.022015,0.010499,-0.001376,-0.001671,0.000670,0.002269
58,632381.822015299,-0.041669,0.479813,0.754696,-0.021717,0.010223,-0.001336,-0.001700,0.000682,0.002309
59,632381.826959147,-0.041727,0.479916,0.754691,-0.021373,0.009885,-0.001149,-0.001730,0.000694,0.002349
60,632381.831902995,-0.041786,0.480017,0.754688,-0.020960,0.009568,-0.001061,-0.001759,0.000705,0.002389
61,632381.836846842,-0.041844,0.480116,0.754684,-0.020586,0.009198,-0.000906,-0.001788,0.000717,0.002428
62,632381.841760172,-0.041900,0.480211,0.754682,-0.020226,0.008805,-0.000821,-0.001817,0.000729,0.002468
63,632381.846704020,-0.041957,0.480304,0.754680,-0.019848,0.008332,-0.000709,-0.001847,0.000741,0.002508
64,632381.851647868,-0.042014,0.480394,0.754679,-0.019573,0.007926,-0.000596,-0.001876,0.000753,0.002548
65,632381.856591715,-0.042070,0.480482,0.754678,-0.019342,0.007592,-0.000470,-0.001905,0.000764,0.002588
66,632381.861535563,-0.042126,0.480568,0.754678,-0.019094,0.007460,-0.000622,-0.001935,0.000776,0.002627
67,632381.866448893,-0.042182,0.480652,0.754677,-0.018837,0.007483,-0.000722,-0.001964,0.000788,0.002667
68,632381.871392741,-0.042237,0.480736,0.754676,-0.018519,0.007471,-0.000822,-0.001993,0.000800,0.002707
69,632381.876336588,-0.042290,0.480819,0.754674,-0.018192,0.007687,-0.000938,-0.002023,0.000811,0.002747
70,632381.881280436,-0.042342,0.480902,0.754672,-0.017814,0.008071,-0.000893,-0.002052,0.000823,0.002787
71,632381.886224284,-0.042391,0.480985,0.754669,-0.017328,0.008446,-0.000806,-0.002081,0.000835,0.002826
72,632381.891168131,-0.042437,0.481069,0.754666,-0.016763,0.008991,-0.000596,-0.002111,0.000847,0.002866
73,632381.896081461,-0.042479,0.481152,0.754664,-0.016257,0.009652,-0.000418,-0.002140,0.000858,0.002906
74,632381.901025309,-0.042518,0.481237,0.754663,-0.015659,0.010348,-0.000284,-0.002169,0.000870,0.002946
75,632381.905938639,-0.042551,0.481323,0.754662,-0.015073,0.010864,-0.000190,-0.002198,0.000882,0.002985
76,632381.910913004,-0.042581,0.481411,0.754660,-0.014451,0.011338,-0.000115,-0.002228,0.000894,0.003025
77,632381.915856852,-0.042607,0.481498,0.754659,-0.013864,0.011712,-0.000029,-0.002257,0.000905,0.003065
78,632381.920800700,-0.042630,0.481585,0.754658,-0.013239,0.012149,0.000303,-0.002287,0.000917,0.003105
79,632381.925775065,-0.042648,0.481672,0.754658,-0.012665,0.012481,0.000742,-0.002316,0.000929,0.003145
80,632381.930688395,-0.042663,0.481758,0.754660,-0.012048,0.012630,0.001152,-0.002345,0.000941,0.003185
81,632381.935601725,-0.042675,0.481843,0.754664,-0.011343,0.012621,0.001532,-0.002374,0.000952,0.003225
82,632381.940545573,-0.042684,0.481927,0.754669,-0.010705,0.012537,0.001957,-0.002404,0.000964,0.003264
83,632381.945458903,-0.042691,0.482008,0.754676,-0.010071,0.012180,0.002729,-0.002433,0.000976,0.003304
84,632381.950402750,-0.042696,0.482086,0.754687,-0.009515,0.011594,0.003538,-0.002462,0.000988,0.003344
85,632381.955346598,-0.042699,0.482161,0.754703,-0.009135,0.011048,0.004374,-0.002492,0.000999,0.003384
86,632381.960290446,-0.042702,0.482232,0.754722,-0.008759,0.010217,0.005217,-0.002521,0.001011,0.003424
87,632381.965234293,-0.042706,0.482299,0.754746,-0.008525,0.009422,0.006135,-0.002550,0.001023,0.003463
88,632381.970178141,-0.042711,0.482363,0.754774,-0.008207,0.008567,0.007092,-0.002580,0.001035,0.003503
89,632381.975091471,-0.042716,0.482422,0.754808,-0.007994,0.007808,0.007991,-0.002609,0.001046,0.003543
90,632381.980035319,-0.042722,0.482478,0.754846,-0.007748,0.006998,0.008921,-0.002638,0.001058,0.003583
91,632381.984979167,-0.042729,0.482530,0.754889,-0.007578,0.006484,0.009692,-0.002668,0.001070,0.003623
92,632381.989923014,-0.042736,0.482579,0.754936,-0.007518,0.006082,0.010339,-0.002697,0.001082,0.003662
93,632381.994866862,-0.042744,0.482627,0.754986,-0.007345,0.005738,0.011011,-0.002726,0.001094,0.003702
94,632381.999780192,-0.042752,0.482673,0.755040,-0.007149,0.005569,0.011477,-0.002755,0.001105,0.003742
95,632382.004693522,-0.042759,0.482718,0.755096,-0.006882,0.005471,0.011698,-0.002785,0.001117,0.003781
96,632382.009637370,-0.042766,0.482762,0.755153,-0.006627,0.005476,0.011522,-0.002814,0.001129,0.003821
97,632382.014611735,-0.042771,0.482805,0.755209,-0.006216,0.005662,0.011332,-0.002843,0.001141,0.003861
98,632382.019525065,-0.042775,0.482847,0.755264,-0.005693,0.005916,0.011162,-0.002873,0.001152,0.003901
99,632382.024468913,-0.042775,0.482890,0.755318,-0.004985,0.006366,0.011056,-0.002902,0.001164,0.003941
100,632382.029412760,-0.042772,0.482931,0.755371,-0.004435,0.006585,0.010698,-0.002931,0.001176,0.003981
101,632382.034356608,-0.042766,0.482973,0.755422,-0.003909,0.006612,0.010339,-0.002961,0.001188,0.004021
102,632382.039300456,-0.042758,0.483012,0.755471,-0.003489,0.006577,0.009843,-0.002990,0.001199,0.004060
103,632382.044244303,-0.042748,0.483051,0.755518,-0.002994,0.006517,0.009429,-0.003019,0.001211,0.004100
104,632382.049157633,-0.042737,0.483087,0.755562,-0.002554,0.006387,0.008975,-0.003049,0.001223,0.004140
105,632382.054101481,-0.042725,0.483122,0.755604,-0.002107,0.006274,0.008543,-0.003078,0.001235,0.004180
106,632382.059045329,-0.042712,0.483155,0.755644,-0.001521,0.006113,0.008625,-0.003107,0.001246,0.004220
107,632382.063989176,-0.042696,0.483185,0.755684,-0.001024,0.005937,0.008717,-0.003137,0.001258,0.004260
108,632382.068933024,-0.042679,0.483213,0.755725,-0.000628,0.005716,0.008843,-0.003166,0.001270,0.004299
109,632382.073876872,-0.042661,0.483240,0.755766,-0.000397,0.005307,0.009097,-0.003195,0.001282,0.004339
110,632382.078790202,-0.042644,0.483264,0.755808,-0.000222,0.004861,0.009497,-0.003224,0.001293,0.004379
111,632382.083734049,-0.042626,0.483286,0.755853,-0.000048,0.004426,0.009862,-0.003254,0.001305,0.004419
112,632382.088677897,-0.042609,0.483306,0.755899,-0.000003,0.003885,0.010379,-0.003283,0.001317,0.004459
113,632382.093621745,-0.042593,0.483323,0.755949,-0.000070,0.003416,0.011010,-0.003313,0.001329,0.004498
114,632382.098535075,-0.042578,0.483339,0.756001,-0.000088,0.002817,0.011524,-0.003342,0.001340,0.004538
115,632382.103448405,-0.042565,0.483353,0.756056,-0.000139,0.002115,0.011923,-0.003371,0.001352,0.004578
116,632382.108422770,-0.042554,0.483364,0.756114,-0.000145,0.001340,0.012304,-0.003400,0.001364,0.004618
117,632382.113366618,-0.042545,0.483372,0.756174,-0.000014,0.000677,0.012716,-0.003430,0.001376,0.004658
118,632382.118340983,-0.042536,0.483377,0.756237,0.000066,0.000075,0.013015,-0.003459,0.001388,0.004698
119,632382.123284831,-0.042530,0.483380,0.756301,0.000226,-0.000580,0.013159,-0.003489,0.001399,0.004738
120,632382.128228678,-0.042524,0.483379,0.756366,0.000396,-0.001387,0.013259,-0.003518,0.001411,0.004777
121,632382.133142008,-0.042520,0.483375,0.756431,0.000521,-0.001976,0.013210,-0.003547,0.001423,0.004817
122,632382.138085856,-0.042517,0.483368,0.756497,0.000608,-0.002542,0.012959,-0.003576,0.001435,0.004857
123,632382.143029704,-0.042515,0.483358,0.756561,0.000621,-0.003193,0.012651,-0.003606,0.001446,0.004897
124,632382.147943034,-0.042516,0.483346,0.756624,0.000706,-0.003593,0.012310,-0.003635,0.001458,0.004936
125,632382.152886881,-0.042517,0.483332,0.756686,0.000716,-0.003882,0.011808,-0.003664,0.001470,0.004976
126,632382.157830729,-0.042520,0.483316,0.756746,0.000680,-0.004160,0.011322,-0.003694,0.001482,0.005016
127,632382.162774577,-0.042523,0.483300,0.756803,0.000742,-0.004239,0.010846,-0.003723,0.001493,0.005056
128,632382.167718424,-0.042527,0.483282,0.756858,0.000793,-0.004238,0.010486,-0.003752,0.001505,0.005096
129,632382.172631754,-0.042531,0.483265,0.756911,0.000838,-0.004052,0.010110,-0.003782,0.001517,0.005135
130,632382.177575602,-0.042534,0.483248,0.756962,0.000792,-0.003757,0.009656,-0.003811,0.001529,0.005175
131,632382.182519450,-0.042537,0.483233,0.757011,0.000751,-0.003410,0.009296,-0.003840,0.001540,0.005215
132,632382.187463297,-0.042539,0.483219,0.757058,0.000891,-0.002961,0.008941,-0.003870,0.001552,0.005255
133,632382.192407145,-0.042539,0.483206,0.757103,0.000963,-0.002629,0.008641,-0.003899,0.001564,0.005295
134,632382.197350993,-0.042539,0.483194,0.757146,0.001024,-0.002384,0.008361,-0.003928,0.001576,0.005335
135,632382.202294840,-0.042537,0.483183,0.757188,0.001130,-0.002127,0.008085,-0.003958,0.001587,0.005374
136,632382.207208170,-0.042535,0.483173,0.757228,0.001246,-0.001821,0.007691,-0.003987,0.001599,0.005414
137,632382.212152018,-0.042531,0.483163,0.757266,0.001334,-0.001609,0.007395,-0.004016,0.001611,0.005454
