#Create Time :2023-04-12 16:23:08.172466 
87152.566919 9.648410 0.358989 -2.673750
87152.571863 9.645068 0.343261 -2.603495
87152.576807 9.677983 0.239395 -2.536130
87152.581751 9.619192 0.238138 -2.498384
87152.586695 9.611384 0.201602 -2.492950
87152.591639 9.601850 0.186252 -2.450427
87152.596582 9.596901 0.210295 -2.449075
87152.601496 9.605325 0.243118 -2.426827
87152.606440 9.588244 0.248632 -2.440015
87152.611383 9.594534 0.289270 -2.445442
87152.616327 9.581492 0.256857 -2.464667
87152.621241 9.579240 0.273531 -2.497877
87152.626093 9.607605 0.302531 -2.565451
87152.631067 9.561416 0.311445 -2.624881
87152.636255 9.540954 0.303196 -2.660289
87152.641138 9.544391 0.348872 -2.692721
87152.646051 9.540772 0.365786 -2.738013
87152.650934 9.559018 0.340211 -2.779517
87152.655848 9.568973 0.304020 -2.765951
87152.660761 9.618744 0.340828 -2.735206
87152.665674 9.668776 0.372974 -2.656585
87152.670618 9.682145 0.303506 -2.601543
87152.675531 9.659640 0.265625 -2.532723
87152.680506 9.639850 0.245546 -2.525889
87152.685450 9.654752 0.228325 -2.535382
87152.690393 9.687843 0.245767 -2.593759
87152.695307 9.649513 0.198770 -2.570662
87152.700251 9.597240 0.178918 -2.611080
87152.705194 9.574156 0.154810 -2.613977
87152.710138 9.550846 0.129618 -2.595350
87152.715082 9.529056 0.128013 -2.643926
87152.720026 9.562167 0.137914 -2.638794
87152.724939 9.595586 0.162318 -2.595014
87152.729883 9.613907 0.179077 -2.650861
87152.734797 9.614380 0.162262 -2.683417
87152.739740 9.640435 0.157426 -2.755863
87152.744684 9.630024 0.203678 -2.800865
87152.749628 9.630457 0.215676 -2.830995
87152.754541 9.664042 0.224767 -2.830459
87152.759485 9.686248 0.240150 -2.877452
87152.764429 9.703561 0.217574 -2.921502
87152.769342 9.663969 0.188173 -2.936945
87152.774286 9.676101 0.172236 -2.900656
87152.779230 9.662933 0.187500 -2.861108
87152.784174 9.642905 0.109500 -2.837863
87152.789118 9.658787 0.117625 -2.798933
87152.794031 9.662177 0.125685 -2.740154
87152.798975 9.630374 0.120243 -2.676038
87152.803919 9.632991 0.081535 -2.627258
87152.808863 9.658246 0.105831 -2.551107
87152.813807 9.662239 0.120533 -2.527309
87152.818750 9.659097 0.137818 -2.529076
87152.823694 9.661345 0.179320 -2.554319
87152.828608 9.618195 0.161866 -2.566374
87152.833551 9.632366 0.096245 -2.542189
87152.838495 9.658333 0.091130 -2.490530
87152.843409 9.665742 0.094537 -2.456720
87152.848352 9.673704 0.123301 -2.464533
87152.853296 9.626817 0.142969 -2.447258
87152.858240 9.629960 0.165404 -2.430022
87152.863184 9.644104 0.179781 -2.435034
87152.868128 9.638148 0.141543 -2.461974
87152.873072 9.642187 0.120443 -2.541938
87152.878016 9.645828 0.111968 -2.579567
87152.882929 9.629241 0.148896 -2.573586
87152.887873 9.571313 0.174264 -2.612757
87152.892817 9.548235 0.138267 -2.642736
87152.897760 9.552722 0.147253 -2.657606
87152.902704 9.526614 0.175038 -2.658948
87152.907618 9.527072 0.153516 -2.717756
87152.912561 9.543646 0.132401 -2.768619
87152.917505 9.554636 0.105786 -2.763915
87152.922449 9.573884 0.112884 -2.700040
87152.927393 9.579449 0.122868 -2.683825
87152.932337 9.573618 0.123918 -2.663033
87152.937250 9.584265 0.153607 -2.596859
87152.942194 9.619455 0.154870 -2.600734
87152.947107 9.572660 0.152410 -2.644972
87152.952051 9.551175 0.135356 -2.644053
87152.956995 9.583880 0.150640 -2.603111
87152.961939 9.599928 0.182488 -2.568632
87152.966883 9.619835 0.239501 -2.503750
87152.971827 9.626731 0.234556 -2.511036
87152.976770 9.667986 0.223883 -2.550766
87152.981714 9.675840 0.219095 -2.569068
